"magie","sort","effet","cible","temps","cout"
"Ombre","Ombre de Kali","Le joueur devient une ombre,  ne peut etre la cible d'attaque magique ou physique,  mais ne peut pas non plus intéragir avec le monde qui l'entoure,  désactiver si une grande source de lunmière. ","Sur soi,unique ","Persistant","0"
"Ombre","Marque de l'ombre","Marque une cible,  ce qui permet de savoir où elle se situe à tout moment ","Sur Cible","Persistant","2"
"Ombre","Ancrage de l'ombre","Impreigne un projectile à planter dans l'ombre de la vitime empêchant son ombre de s'en détacher (si le projectile et enlever,  l'effet se dissipe) ","Sur Objet","Persistant","2"
"Ombre","Invocation d'ombres","Invoque une ombre,  qui ne peut ni attaquer,  ni subir des blessures physiques,  permettant de faire des reconnaissance. Créature semi-libre ","Sur Zone","Persistant","2"
"Ombre","L'armure d'ombres","Perturbe l'adversaire,  rendant la cible,  plus difficile à toucher (-10% pour les attaques physique ou/et magique) ","Sur cible","Persistant","2"
"Ombre","Correction  de l'ombres","Suite à échec de tir permet de rediriger le projectile","Sur cible","Ephémère","2"
"Ombre","Déplacement des ombres","Le joueur peut se téléporter dans une ombre dans un rayon de 30 m  ","Sur soi","Instantané","2"
"Ombre","Dague d'ombres","Inflige 1d4 perce armure à une cible ","Sur cible","Persistant","2"
"Ombre","L'age sombre des ombres","Cache toutes source de lumièree aveuglante qui empêche la ou les victime(s) de jouer pendant son prochain tour","Sur zone","1 tour","3"
"Ombre","Ombre terrifiante","Inspire la terreur (les ennemi doivent tester leur sagacité pour éviter de fuir avec un malus de 15%)","Sur zone","1 tour","4"
"Ombre","L'ombre silenceuse","Empêche la cible de lancer un sort pendant 1d4 tours et de parler","Sur cible","Persistant","4"
"Ombre","Etrangement des ombres","Etouffe une victime qui doit faire un test de physique pour rester conscient (-10% pour chaque tour supplémentaire),  si inconscient plus besoin de maintien ","Sur cible","Maintien","5"
"Ombre","Apparence d'ombres","Insensible au attaque physique","Sur cible","Maintien","5"
"Ombre","Manipulation des ombres","L'utilisateur prend le contrôle de l'ombre de ses victimes et les obligés à faire ce qu'il veut","Sur cible","Maintien","6"
"Ombre","Appel de Kali","Inflige 4d10 de dommage dans une zone","Sur zone","unique","12"
"Nouvel-ordre","**** NOUVEL-ORDRE *****","T","","","0"
"Nouvel-ordre","Immunité au poison","Protège la cible du poison","Sur cible","Persistant","2"
"Nouvel-ordre","Exorcisme","Supprime tous les effets magiques sur une cible","Sur cible","Persistant","2"
"Nouvel-ordre","Aura de prestance","La cible à  un bonus de 10% à  tous ses jets de physique","Sur cible","Persistant","2"
"Nouvel-ordre","Volonté de Fer","La cible à  un bonus de 10% à  tous ses jets de mental","Sur cible","Persistant","2"
"Nouvel-ordre","Vérité de l'Amour","Permet de savoir si une personne ment ou pas, sur PNJ uniquement ","Sur cible","Un tour","2"
"Nouvel-ordre","Sacrifice à  son prochain","Restaure tous ces PV à  une cible, mais perds tous les siens ","Sur cible et sur soi","Un tour","2"
"Nouvel-ordre","Lutte contre l'hérésie","Augmente les dégâts de 1d4+2 sur les cibles hérétiques","Sur soi","Persistant","3"
"Nouvel-ordre","Prière","Double les effets de soin","Sur cible ou sur soi","Persistant","3"
"Nouvel-ordre","Lien Spirituel","Permet de communiqué par télépathie avec les autres joueurs","Sur cible ou groupe","Persistant","3"
"Nouvel-ordre","Volonté divine","Permet d'améliorer(1d4)d10 la réussite des sorts pour 1d6 tours, 1d4 ","Sur soi ou cible","1d6 tours","4"
"Nouvel-ordre","Conversion à  la foi","la cible devient du même camp que le lanceur et attaque ses anciens alliés, sous contrôle mental du lanceur, annule quand perte de conscience ","Sur cible","Persistant","5"
"Nouvel-ordre","Jugement Dernier","La cible gagne 1d6+2 soit en force, soit en PV, soit en ou 2d10 en physique ou social ou mental ","Sur Cible","Unique","5"
"Nouvel-ordre","Présage","Permet au joueur de connaître l'action du PNJ prochain tour de la cible","Sur cible ou sur soi","Un tour","5"
"Nouvel-ordre","Apocalysme selon St Mathieu","Invoque 4 cavaliers:2d6 de dégâts, physique 80 / Mental 40 / Social 30, PV 18, créature libre(8psy+4P) ","Sur zone","Unique","8"
"Croiser","**** Croisé *****","","T","","0"
"Croiser","Appel du chevalier","Oblige la cible à s’avancer vers le joueur et à le combattre.","Sur cible","Peristant","0"
"Croiser","Bénédiction","La cible gagne 6 PV","Sur cible","Un Tour ","2"
"Croiser","Prières exaucées","Chaque fois que vous gagnez des PV,  vous pouvez lancer infliger autant à un ennemi ","Sur soi","Maintien","3"
"Croiser","Lien de vie","Chaque fois que vous infliger des dommages Physiques la cible,  qui ne peut etre soi-meme,  récupère autant de PV ","Sur cible","Persistant ","2"
"Croiser","Appel à Dieu","1d8+2 au ennemi de la foi (au ennemi qui ne sont pas du culte du nouvel ordre)","Sur zone","Un Tour ","3"
"Croiser","Force divine","tous les allier gagne +2 en dégâts","Sur alliers","Persistant","3"
"Croiser","Prévention","Prévenez tous les dommages provenant d’une source sur un allier","Sur cible","Ephémère","3"
"Croiser","Rempart","La cible peut bloquer plusieurs fois ce tours-ci","Sur cible","Un Tour","3"
"Croiser","L’aide de dieu","double les dommages qui viennent d’être fait sur une cible","Sur cible","Ephemere","3"
"Croiser","Dernières ressources","Si le joueur lui reste exactement 1 PV,  il peux lancer se sort : inflige 2d10+4 de dommage ","Sur zone","Un Tour","3"
"Croiser","Bouclier de la foi ","Protège des sorts des autres magie de cultes","Sur soi","Persistant","5"
"Croiser","Cercle de la foi","Créer un champ de force d'un rayon de 10m,  ou rien ne peut entré ou sortir (magie ou physique) ","Sur Zone","5 Tour","6"
"Croiser","Purification","Inflige 2d10+2 au personnage qui ne sont pas du nouvel ordre","Sur zone","Un Tour","7"
"Croiser","Puissance de dieu","Inflige 4d10 de dommage dans une zone","Sur Zone","Unique","12"
"rune","**** Rune *****","","T","","0"
"rune","Marquer / Lier","","","","0"
"rune","Lire","","","","1"
"rune","Stocker","","","","1"
"rune","Paralyser/Bloquer","","","","1"
"rune","Blesser / Diminuer","","","","2"
"rune","Soigner / augmenter","","","","2"
"rune","Voler/Prendre","","","","1"
"rune","Donner","","","","1"
"rune","Immuniser/Protéger","","","","2"
"rune","Voler/Léviter","","","","1"
"rune","Empoisonner","","","","2"
"rune","Paralyser/Bloquer","","","","2"
"rune","Modifier / Contrôler","","","","4"
"rune","Vie/Physique de la cible","","","","1"
"rune","Psy/Magie de la cible","","","","1"
"rune","Capacité","","","","1"
"rune","Mentale /Penser de la cible","","","","2"
"rune","Objet","","","","1"
"rune","1 Cible","","","","1"
"rune","+1 Cible","","","","1"
"rune","Zone","","","","3"
"rune","1Tour","","","","3"
"rune","Persitant","","","","3"
"rune","Permanent","","","","3"
"rune","Double effet","","","","2"
"rune","Divise effet","","","","2"
"rune","1d4","","","","0"
"rune","1d6","","","","1"
"rune","1d8","","","","2"
"rune","1d10","","","","3"
"rune","1d20","","","","5"
"vaudou","**** Vaudou *****","","T","","0"
"vaudou","Création de poupée","Créer une poupée d’envoutement","Sur cible","Permanent","0"
"vaudou","Enchantement de poupée","Avec un objet appartenant à la cible,  l'utilisateur de la poupée peut le manipuler,  jusqu'à que la cible réussisse un jet de mental à -30. Toutes actions sur la poupée aura le même effet que sur la cible envoutée. ","Sur cible","Permanent","3"
"vaudou","Soufle de mort","A moins d'un mêtre de sa victime,  le lanceur peut prendre le contrôle pour 1 tour de sa victime. Il ne peut néanmoins lui donnée un ordre pouvant lui nuir. ","Sur cible","1 Tour","2"
"vaudou","Invocation de famillier","Création d’un familier de glace pouvant agir comme le joueur,  il a 5 PV,  durant le tour du joueur,  créature liée,  en lien avec soi ","Sur cible","Persistant","2"
"vaudou","Animation des morts","Peut animer un mort agissant comme une créature semi-libre. Elle posséde la motier de ses PV et PSY que de son vivant. Une fois mort à nouveau elle ne peut etre réanimé.","Sur cible","Persistant","3"
"vaudou","Protection Vaudou","Insensible au attaque physique","Sur cible","Maintien","5"
"vaudou","Mauvais oeil","La cible à la malchance,  elle dois avant toutes action faire un jet de chance,  si elle rate,  la malchance s'abattera sur elle. ","Sur cible","Persitant","5"
"vaudou","Transe","Permet de sortir de sont corps et de voyage dans le monde ","Sur soi","Unique","3"
"vaudou","Divination","Permet au joueur de connaître l’action du PNJ prochain tour de la cible","Sur cible","1 Tour","3"
"vaudou","Compulsion magique","Inflige 1d6+5 dommages a une cible ","Sur cible","Un tour","5"
"vaudou","Nuage de poison","Créer un nuage de poison,  attention au sens du vent,  inflige au personne prise dans le nuage 1d6+1 de dégât (perce armure) par tour tant qu’ils sont dans le nuage ","Sur zone","Maintien","3"
"vaudou","Zombification","Transforme une cible en zombie (diminue ses caractéristique de 20). La cible ne peut plus lancer de sort,  et attaque les personnes les plus proches. La transformation prends 3 tours ","Sur cible","Permanent","3"
"vaudou","Aura de peur","Inspire la terreur (les ennemis doivent tester leur mental pour éviter de fuir avec un malus de 10%)","Sur zone","1 Tour","3"
"vaudou","Manipulation du destin","Permet de modifier les caratérisiques d'une cible,  en respectant les nombres de points qu'elle posséde. ","Sur cible","Peristant","4"
"vaudou","Télépathie","Permet de communiquer avec des joueurs à distances","Sur cible","Persitant","2"
"vaudou","Emprisonnement","Dans un rayon de 10m,  toutes les cibles sont figer dans le temps ","Sur zone","3 Tour + Maintient","12"
"lumiere","**** Lumière *****","","T","","0"
"lumiere","Ombre de Lumineuse","Le joueur devient une boule de lumière,  ne peut être la cible d’attaque magique ou physique,  mais ne peut pas non plus intéragir avec le monde qui l’entoure. ","Sur soi","Unique","0"
"lumiere","Constellations","Restaure 1d4+2 PV à une cible ","Sur cible","Un tour","2 "
"lumiere","Brille","Marque une cible,  ce qui permet de savoir où elle se situe à tout moment ","Sur Cible","Persistant","2 "
"lumiere","Infra rouge","La cible puet voir dans le noir et distingue toutes sources de chaleur.","Sur cible","Persistant","2 "
"lumiere","Réfraction de la lumière","Le joueur ou la cible devient invisible,  peut se déplacer sans être vu,  dès une action physique la disparition s'annule ","Sur cible","Persistant","2 "
"lumiere","Illumination","Indique au joueur des points d'intérer dans sa quête","Sur Zone","Un tour","2 "
"lumiere","Dissipation Lumineuse","Annule toutes magies dans la zone.","Sur zone","un tour","3 "
"lumiere","Rayon de lumière","Inflige 1d8+2 en ligne droite.","Sur cible","Un tour","3 "
"lumiere","Explosion de Lumière","Créer une lumière aveuglante pour toute personne ayant vu cette explosion,  aveugle pour 5 tourse ","Sur zone","Un tour","3 "
"lumiere","Benediction de la lumière","Annule tous les dégât subits durant ce tour","Sur Cible","Ephémère","3 "
"lumiere","Clairvoyance","Augmente le mental de +10","Sur cible","Persistant","3 "
"lumiere","Bouclier de Lumière","Créer un bouclier de lumière devant la cible,  large de 3m à 180 degrés. Donne +2 en armure pour les cibles derrière le bouclier. ","Sur Cible","Persistant","4 "
"lumiere","Pluie de Lumière","Inflige 1d6+3 perce armure.","Sur Zone","Un tour","4 "
"lumiere","Vitesse Lumière","La cible peut agir deux fois par tour sans malus du à cette seconde action. Toutefois pour chaque tour supplémentaire la cible perds 2 PV dû à l'energie dépensée pour ce soir. Elle se déplace rapidement et peut quasi se téléporter.","Sur cible","Maintien","4"
"lumiere","Soleil de Minuit","Inflige 4d10 de dommage dans une zone,  créer une lumière aveuglante pour toute personne ayant vu cette explosion,  aveugle pour 5 tours ","Sur zone","unique","13"
